Generation Count,Population Count
1,1000
2,1015
3,856
4,858
5,786
6,740
7,757
8,707
9,667
10,658
11,680
12,650
13,674
14,650
15,648
16,651
17,628
18,581
19,567
20,574
21,568
22,565
23,622
24,588
25,595
26,556
27,575
28,553
29,563
30,537
31,520
32,505
33,504
34,500
35,503
36,492
37,484
38,483
39,478
40,514
41,464
42,497
43,485
44,500
45,500
46,538
47,528
48,532
49,509
50,504
51,506
52,471
53,512
54,497
55,520
56,547
57,512
58,527
59,498
60,496
61,514
62,508
63,484
64,468
65,476
66,489
67,514
68,470
69,455
70,440
71,451
72,466
73,439
74,434
75,441
76,389
77,428
78,378
79,406
80,377
81,387
82,366
83,339
84,345
85,345
86,339
87,336
88,334
89,328
90,348
91,341
92,342
93,338
94,326
95,325
96,346
97,342
98,336
99,340
100,343
101,349
102,351
103,349
104,361
105,352
106,361
107,374
108,374
109,355
110,364
111,349
112,353
113,350
114,362
115,349
116,357
117,342
118,327
119,336
120,310
121,327
122,293
123,301
124,302
125,311
126,309
127,302
128,302
129,307
130,309
131,304
132,307
133,291
134,296
135,291
136,295
137,286
138,294
139,271
140,293
141,285
142,281
143,274
144,281
145,262
146,261
147,277
148,274
149,305
150,277
151,281
152,277
153,286
154,280
155,279
156,293
157,293
158,271
159,270
160,261
161,278
162,271
163,260
164,269
165,279
166,263
167,270
168,264
169,259
170,261
171,257
172,263
173,270
174,266
175,285
176,295
177,282
178,291
179,286
180,288
181,296
182,313
183,285
184,287
185,316
186,301
187,307
188,294
189,296
190,302
191,330
192,311
193,321
194,318
195,328
196,330
197,329
198,331
199,337
200,341
201,338
202,360
203,345
204,343
205,330
206,316
207,325
208,343
209,344
210,346
211,340
212,328
213,340
214,358
215,352
216,361
217,334
218,338
219,331
220,308
221,316
222,307
223,303
224,307
225,314
226,313
227,308
228,331
229,328
230,333
231,339
232,357
233,337
234,347
235,341
236,354
237,356
238,375
239,352
240,336
241,347
242,327
243,336
244,340
245,325
246,310
247,302
248,304
249,291
250,288
251,288
252,297
253,304
254,319
255,295
256,310
257,302
258,297
259,280
260,295
261,273
262,288
263,276
264,271
265,264
266,250
267,252
268,252
269,246
270,241
271,232
272,252
273,242
274,263
275,275
276,246
277,240
278,256
279,228
280,229
281,230
282,204
283,196
284,193
285,188
286,188
287,191
288,189
289,200
290,197
291,224
292,214
293,219
294,230
295,210
296,222
297,220
298,219
299,226
300,230
301,225
302,230
303,233
304,227
305,217
306,212
307,198
308,200
309,190
310,195
311,183
312,185
313,177
314,178
315,189
316,192
317,191
318,195
319,185
320,181
321,186
322,182
323,182
324,184
325,182
326,175
327,182
328,172
329,177
330,174
331,185
332,186
333,190
334,180
335,183
336,167
337,167
338,163
339,160
340,163
341,163
342,170
343,165
344,160
345,164
346,161
347,160
348,165
349,157
350,161
351,159
352,164
353,161
354,162
355,167
356,166
357,177
358,176
359,190
360,167
361,167
362,167
363,181
364,168
365,187
366,174
367,176
368,176
369,181
370,179
371,185
372,184
373,191
374,180
375,205
376,182
377,171
378,175
379,171
380,177
381,175
382,175
383,187
384,201
385,201
386,197
387,209
388,203
389,215
390,212
391,214
392,230
393,219
394,223
395,224
396,220
397,229
398,237
399,241
400,245
401,253
402,254
403,242
404,235
405,241
406,239
407,229
408,235
409,243
410,228
411,261
412,253
413,268
414,246
415,244
416,222
417,241
418,207
419,223
420,210
421,230
422,227
423,228
424,225
425,236
426,223
427,235
428,212
429,227
430,205
431,209
432,207
433,216
434,222
435,232
436,213
437,235
438,202
439,218
440,203
441,225
442,221
443,237
444,237
445,250
446,245
447,237
448,234
449,240
450,232
451,240
452,242
453,250
454,251
455,243
456,250
457,244
458,253
459,259
460,259
461,242
462,225
463,219
464,208
465,215
466,220
467,231
468,230
469,209
470,211
471,214
472,224
473,224
474,241
475,246
476,231
477,245
478,221
479,228
480,228
481,228
482,216
483,222
484,222
485,220
486,225
487,226
488,205
489,185
490,202
491,182
492,203
493,177
494,186
495,176
496,176
497,193
498,182
499,208
500,205
501,219
502,209
503,199
504,206
505,210
506,185
507,189
508,179
509,183
510,186
511,190
512,184
513,189
514,188
515,186
516,197
517,194
518,181
519,184
520,172
521,176
522,176
523,179
524,180
525,176
526,170
527,162
528,158
529,160
530,155
531,164
532,163
533,161
534,153
535,153
536,148
537,154
538,158
539,164
540,168
541,161
542,173
543,160
544,178
545,155
546,170
547,158
548,145
549,129
550,122
551,125
552,127
553,137
554,121
555,124
556,119
557,121
558,119
559,120
560,121
561,127
562,128
563,134
564,122
565,128
566,126
567,131
568,132
569,136
570,135
571,129
572,117
573,118
574,119
575,118
576,124
577,118
578,118
579,119
580,127
581,118
582,123
583,119
584,115
585,113
586,111
587,109
588,109
589,107
590,104
591,104
592,104
593,106
594,106
595,106
596,106
597,106
598,106
599,106
600,106
601,106
602,106
603,106
604,106
605,106
606,106
607,106
608,106
609,106
610,106
611,106
612,106
613,106
614,106
615,106
616,106
